y,p,Ux,Uy,Uz,analytical_u
0.0,-6.16816e-13,0.0,0.0,0,0.0
0.0526316,-6.168e-13,0.261007,-5.43671e-17,0,0.263158
0.105263,-6.1682e-13,0.522559,-1.22425e-16,0,0.526315
0.157895,-6.1695e-13,0.785759,-2.31774e-16,0,0.789475
0.210526,-6.16833e-13,1.04896,-3.40087e-16,0,1.05263
0.263158,-6.1654e-13,1.31217,-4.47656e-16,0,1.31579
0.315789,-6.15126e-13,1.57538,-5.00035e-16,0,1.578945
0.368421,-6.13519e-13,1.83859,-5.38717e-16,0,1.842105
0.421053,-6.11735e-13,2.10181,-5.6455e-16,0,2.105265
0.473684,-6.1037e-13,2.36503,-6.15815e-16,0,2.36842
0.526316,-6.08798e-13,2.62826,-5.96864e-16,0,2.63158
0.578947,-6.07756e-13,2.89149,-4.84427e-16,0,2.894735
0.631579,-6.07828e-13,3.15473,-2.72878e-16,0,3.157895
0.684211,-6.08513e-13,3.41797,-5.68613e-17,0,3.421055
0.736842,-6.09432e-13,3.68122,1.08334e-16,0,3.68421
0.789474,-6.11841e-13,3.94447,1.30438e-16,0,3.9473700000000003
0.842105,-6.12302e-13,4.20772,3.22601e-17,0,4.210525
0.894737,-6.10791e-13,4.47098,-3.27749e-17,0,4.473685
0.947368,-6.0975e-13,4.73425,-2.51071e-17,0,4.73684
1.0,-6.09362e-13,5.0,-2.16127e-31,0,5.0
